,2009,2010,2011,2012,2013,2014,2015,2016
Arcos de Valdevez,15,19,26,16,16,19,9,16
Caminha,8,11,14,11,8,13,6,6
Melgaço,4,9,3,8,7,8,4,11
Monção,13,18,14,19,11,12,19,12
Paredes de Coura,0,0,3,4,7,8,6,7
Ponte da Barca,0,8,8,14,8,4,7,8
Ponte de Lima,13,26,23,21,26,25,25,23
Valença,8,9,13,12,7,11,5,8
Viana do Castelo,44,39,42,41,35,38,46,31
Vila Nova de Cerveira,9,0,6,3,1,7,1,4
Amares,5,8,9,9,7,11,8,11
Barcelos,43,40,47,47,34,38,36,58
Braga,59,59,50,67,39,50,66,58
Esposende,14,16,10,14,8,5,14,13
Terras de Bouro,7,5,11,6,6,5,10,3
Vila Verde,16,28,33,19,19,21,23,20
Cabeceiras de Basto,10,9,4,10,5,10,5,10
Fafe,28,28,18,18,20,21,21,26
Guimarães,43,41,39,51,47,58,46,55
Mondim de Basto,0,8,6,6,8,2,2,5
Póvoa de Lanhoso,11,9,12,8,9,8,9,6
Vieira do Minho,12,11,0,4,5,9,12,6
Vila Nova de Famalicão,40,49,55,64,49,42,51,46
Vizela,8,3,0,8,7,5,5,6
Arouca,11,8,7,15,9,4,6,11
Espinho,8,11,18,12,13,15,16,12
Gondomar,54,47,42,46,54,49,40,62
Maia,39,35,30,30,37,34,32,49
Matosinhos,73,47,48,55,61,57,58,54
Oliveira de Azeméis,25,18,24,31,32,32,30,24
Paredes,32,34,18,22,24,18,23,24
Porto,121,91,89,95,113,109,109,122
Póvoa de Varzim,19,21,18,18,25,21,21,18
Santa Maria da Feira,37,36,43,39,37,48,47,45
Santo Tirso,19,25,31,31,25,22,30,18
São João da Madeira,5,9,10,9,7,5,7,9
Trofa,8,6,12,11,7,18,14,10
Vale de Cambra,10,10,10,12,15,12,15,16
Valongo,23,28,25,22,28,26,28,30
Vila do Conde,27,19,22,23,23,35,23,26
Vila Nova de Gaia,106,97,119,97,81,105,123,113
Boticas,6,4,4,5,4,5,3,3
Chaves,33,42,27,30,30,25,24,26
Montalegre,13,9,20,8,13,11,11,8
Ribeira de Pena,10,5,5,7,2,5,5,8
Valpaços,13,13,13,26,12,15,16,25
Vila Pouca de Aguiar,14,13,12,10,13,13,18,18
Amarante,23,20,24,23,31,25,20,31
Baião,12,15,17,14,14,9,11,11
Castelo de Paiva,0,4,11,7,5,2,7,3
Celorico de Basto,8,14,6,5,4,16,10,11
Cinfães,8,13,7,8,6,9,10,10
Felgueiras,20,18,18,18,20,18,13,18
Lousada,16,12,6,17,11,15,15,14
Marco de Canaveses,13,19,10,21,13,11,13,21
Paços de Ferreira,20,11,11,9,18,19,18,19
Penafiel,26,18,34,21,21,32,17,27
Resende,10,8,5,7,12,10,10,8
Alijó,12,9,6,9,9,6,9,13
Armamar,3,6,3,3,2,4,5,4
Carrazeda de Ansiães,8,10,12,6,8,3,6,4
Freixo de Espada à Cinta,4,5,4,3,2,4,3,0
Lamego,20,17,21,11,17,20,23,12
Mesão Frio,5,4,4,5,3,0,3,5
Moimenta da Beira,10,9,0,8,5,11,6,5
Murça,5,8,8,3,10,3,6,0
Penedono,0,4,0,1,4,4,0,3
Peso da Régua,14,8,10,16,12,11,14,14
Sabrosa,7,4,4,13,8,8,6,7
Santa Marta de Penaguião,9,4,12,11,1,0,4,9
São João da Pesqueira,7,9,6,6,5,4,6,4
Sernancelhe,0,0,5,4,4,4,4,5
Tabuaço,5,3,3,4,7,4,0,6
Tarouca,5,6,4,4,0,4,7,3
Torre de Moncorvo,9,5,5,5,8,5,7,7
Vila Nova de Foz Côa,6,10,10,4,6,6,9,7
Vila Real,28,28,26,22,24,25,31,23
Alfândega da Fé,3,0,4,3,0,5,7,1
Bragança,16,25,24,12,24,23,22,27
Macedo de Cavaleiros,11,8,14,10,11,12,15,13
Miranda do Douro,6,9,6,5,2,5,1,9
Mirandela,16,8,13,19,10,14,12,12
Mogadouro,0,0,3,4,6,5,7,11
Vila Flor,0,3,5,3,10,2,4,5
Vimioso,4,5,3,9,1,7,5,3
Vinhais,5,12,10,8,6,8,7,9
Alcobaça,29,29,27,16,26,31,18,24
Alenquer,13,19,18,19,19,21,17,21
Arruda dos Vinhos,0,4,0,9,5,4,4,3
Bombarral,8,11,13,9,12,10,7,7
Cadaval,8,8,10,8,7,7,8,9
Caldas da Rainha,22,20,18,19,21,16,25,22
Lourinhã,10,12,14,12,8,9,11,13
Nazaré,9,7,11,7,7,6,8,9
Óbidos,3,5,4,3,5,9,8,6
Peniche,11,7,16,10,13,10,14,13
Sobral de Monte Agraço,0,4,0,7,4,5,5,4
Torres Vedras,19,51,31,44,26,34,40,28
Águeda,18,22,21,24,16,17,19,15
Albergaria-a-Velha,12,8,9,8,7,9,10,7
Anadia,18,19,15,14,17,9,15,16
Aveiro,28,31,18,24,32,33,27,38
Estarreja,13,8,6,7,17,24,15,12
Ílhavo,17,10,15,13,12,12,13,9
Murtosa,6,4,5,1,8,3,4,3
Oliveira do Bairro,16,9,7,10,8,14,7,8
Ovar,21,22,22,16,16,26,24,22
Sever do Vouga,8,6,4,9,4,6,7,7
Vagos,6,6,13,7,11,14,15,8
Arganil,7,11,7,13,9,15,8,8
Cantanhede,21,21,26,26,18,19,15,21
Coimbra,63,66,58,45,59,55,55,60
Condeixa-a-Nova,9,10,7,5,12,10,13,6
Figueira da Foz,23,19,26,40,31,28,27,40
Góis,5,0,7,8,3,0,2,3
Lousã,6,13,13,6,8,5,9,9
Mealhada,15,16,8,6,10,8,4,17
Mira,10,6,6,4,8,0,4,5
Miranda do Corvo,6,7,6,7,8,9,5,9
Montemor-o-Velho,8,13,11,18,10,14,11,12
Mortágua,3,5,8,2,8,7,9,7
Oliveira do Hospital,9,12,20,11,20,14,7,12
Pampilhosa da Serra,4,4,5,7,4,7,2,5
Penacova,6,15,8,8,6,10,6,10
Penela,5,0,0,6,3,3,1,0
Soure,9,8,13,11,6,18,11,16
Tábua,12,9,9,6,9,8,7,10
Vila Nova de Poiares,3,5,7,1,9,4,3,0
Alvaiázere,5,3,5,8,6,5,6,5
Ansião,11,12,9,7,9,5,12,7
Batalha,7,5,10,7,8,8,10,7
Castanheira de Pêra,0,3,0,0,4,0,4,4
Figueiró dos Vinhos,7,5,6,2,7,0,6,6
Leiria,46,53,44,52,61,50,41,49
Marinha Grande,14,20,14,15,14,17,13,18
Pedrógão Grande,0,0,4,4,6,5,3,4
Pombal,51,35,39,31,45,37,36,35
Porto de Mós,11,11,5,16,13,9,8,17
Aguiar da Beira,4,3,6,5,7,2,8,8
Carregal do Sal,8,5,9,3,8,5,3,7
Castro Daire,7,14,10,9,9,7,11,12
Mangualde,12,8,13,11,6,16,7,12
Nelas,9,5,7,6,13,9,9,5
Oliveira de Frades,6,8,7,11,0,6,1,6
Penalva do Castelo,6,9,0,5,4,2,9,8
Santa Comba Dão,8,8,11,6,4,10,8,11
São Pedro do Sul,6,9,8,5,10,14,9,18
Sátão,12,5,8,8,8,7,7,13
Tondela,29,19,19,20,19,26,23,38
Vila Nova de Paiva,8,3,4,2,0,4,6,4
Viseu,31,47,28,39,53,51,41,57
Vouzela,3,5,0,7,7,2,4,13
Castelo Branco,28,19,28,34,24,31,19,32
Idanha-a-Nova,8,17,3,11,8,12,9,8
Oleiros,5,5,0,5,6,6,4,5
Penamacor,3,0,4,7,6,8,5,5
Proença-a-Nova,10,7,0,5,6,6,5,7
Vila Velha de Ródão,0,0,6,3,5,3,3,5
Abrantes,22,21,22,31,27,27,16,23
Alcanena,12,6,7,10,11,3,5,7
Constância,0,0,0,1,3,0,0,2
Entroncamento,4,6,7,5,12,7,9,5
Ferreira do Zêzere,7,0,10,12,8,11,6,3
Mação,3,5,7,7,5,7,6,5
Ourém,24,24,24,25,20,33,27,29
Sardoal,8,6,0,4,2,0,0,3
Sertã,13,9,13,19,12,15,6,9
Tomar,22,27,21,22,23,20,28,31
Torres Novas,19,20,15,15,15,15,21,24
Vila de Rei,3,5,3,7,6,0,0,8
Vila Nova da Barquinha,0,4,0,6,5,2,1,3
Almeida,5,0,8,7,5,7,3,8
Belmonte,3,0,0,4,2,5,8,5
Celorico da Beira,7,0,6,4,9,3,5,4
Covilhã,29,0,26,29,30,24,18,36
Figueira de Castelo Rodrigo,6,5,4,5,7,7,8,2
Fornos de Algodres,4,4,7,2,3,0,3,4
Fundão,24,21,0,25,21,15,15,20
Gouveia,11,13,9,14,16,20,17,13
Guarda,24,26,25,22,30,24,18,32
Manteigas,5,5,5,4,4,5,4,6
Mêda,4,8,8,1,2,0,10,7
Pinhel,12,6,8,7,6,5,3,9
Sabugal,19,19,13,11,15,12,14,18
Seia,28,24,18,15,29,21,24,28
Trancoso,5,9,7,11,11,11,7,7
Alcochete,7,6,6,3,7,3,2,8
Almada,68,71,85,80,80,73,75,77
Amadora,69,64,75,58,57,72,53,64
Barreiro,39,37,18,33,31,32,39,37
Cascais,75,79,66,68,72,80,75,75
Lisboa,281,295,279,278,257,249,282,259
Loures,57,62,64,69,73,66,80,75
Mafra,25,25,24,14,15,20,27,36
Moita,26,30,31,30,25,20,30,41
Montijo,13,28,16,19,23,16,17,21
Odivelas,36,34,44,43,34,53,34,55
Oeiras,48,50,59,49,60,47,55,73
Palmela,20,12,28,16,27,32,30,22
Seixal,36,54,44,57,39,54,41,64
Sesimbra,16,27,15,17,18,21,20,25
Setúbal,54,42,43,42,49,55,44,62
Sintra,102,86,87,98,104,102,120,117
Vila Franca de Xira,29,38,37,49,48,44,42,43
Alcácer do Sal,11,9,9,14,9,6,12,9
Grândola,4,18,10,12,8,6,7,9
Odemira,25,17,21,15,16,10,12,20
Santiago do Cacém,12,18,15,19,20,13,12,11
Sines,11,3,4,6,7,3,6,7
Aljustrel,11,7,10,4,7,5,8,7
Almodôvar,6,7,4,5,4,4,8,6
Alvito,0,4,3,0,0,0,8,0
Barrancos,0,0,0,1,0,2,0,0
Beja,24,23,14,20,24,17,21,19
Castro Verde,3,4,6,3,4,4,4,5
Cuba,3,4,5,2,6,0,3,5
Ferreira do Alentejo,5,0,0,2,0,5,6,3
Mértola,5,9,3,8,5,5,0,6
Moura,11,9,5,7,6,9,10,10
Ourique,7,3,7,6,4,4,4,4
Serpa,10,13,9,5,7,11,11,15
Vidigueira,4,5,0,6,6,0,6,3
Almeirim,7,9,7,15,20,8,13,17
Alpiarça,4,8,7,10,6,6,8,4
Azambuja,10,12,14,13,10,8,8,11
Benavente,11,8,13,9,9,7,9,9
Cartaxo,10,16,18,16,16,11,10,15
Chamusca,5,3,8,10,9,4,8,5
Coruche,10,9,15,12,13,13,15,9
Golegã,3,6,3,2,4,0,5,3
Rio Maior,13,14,10,10,7,11,14,8
Salvaterra de Magos,12,15,16,5,13,7,14,12
Santarém,34,40,40,35,31,35,41,38
Alter do Chão,0,0,3,2,5,2,2,3
Arronches,0,3,6,2,0,0,4,0
Avis,5,4,0,4,2,2,5,3
Campo Maior,6,6,8,4,6,0,3,9
Castelo de Vide,0,0,0,4,0,4,5,0
Crato,4,3,0,2,5,2,4,2
Elvas,14,10,12,11,14,17,19,13
Fronteira,0,0,0,3,0,2,0,0
Gavião,0,6,6,3,5,7,2,3
Marvão,0,0,5,2,3,5,0,5
Monforte,0,4,0,1,5,0,0,4
Nisa,4,4,7,5,7,11,9,9
Ponte de Sor,12,13,8,14,10,6,9,10
Portalegre,15,18,13,12,13,14,18,6
Sousel,3,6,3,9,3,4,4,3
Alandroal,3,4,0,2,3,0,0,2
Arraiolos,6,3,4,3,7,0,6,4
Borba,0,0,0,6,6,3,2,4
Estremoz,8,7,14,8,7,6,6,11
Évora,20,26,23,11,18,19,13,27
Montemor-o-Novo,11,8,9,9,12,9,0,3
Mora,5,6,5,4,4,4,5,0
Mourão,0,0,0,1,0,0,3,0
Portel,6,5,3,2,0,5,2,3
Redondo,10,3,0,0,7,5,2,6
Reguengos de Monsaraz,5,7,3,3,3,7,6,10
Vendas Novas,5,5,0,3,4,10,4,4
Viana do Alentejo,0,3,0,7,3,3,3,4
Vila Viçosa,4,3,8,6,4,3,8,3
Albufeira,21,18,16,6,11,8,16,17
Alcoutim,3,6,0,1,5,4,0,0
Aljezur,3,0,5,0,4,3,0,4
Castro Marim,7,0,4,2,4,7,4,6
Faro,30,37,26,31,34,26,25,35
Lagoa,11,7,8,12,12,9,7,10
Lagos,12,16,17,13,11,22,16,17
Loulé,35,25,25,33,29,23,27,54
Monchique,5,3,8,4,5,4,5,0
Olhão,12,12,21,17,22,18,16,18
Portimão,26,20,31,31,22,30,25,26
São Brás de Alportel,10,4,10,1,4,7,4,10
Silves,17,17,17,15,19,15,9,25
Tavira,23,8,13,19,17,10,9,11
Vila do Bispo,3,3,0,2,3,6,0,4
Vila Real de Santo António,12,13,12,8,10,10,11,9
Vila do Porto,0,0,0,3,3,2,1,0
Lagoa [R.A.A.],5,6,0,4,5,2,1,4
Nordeste,0,0,5,3,0,3,0,4
Ponta Delgada,27,29,29,16,34,21,23,27
Povoação,4,4,0,3,3,3,0,3
Ribeira Grande,9,11,8,5,11,12,7,14
Vila Franca do Campo,0,0,0,8,5,2,0,4
Angra do Heroísmo,14,19,10,16,15,14,16,14
Vila da Praia da Vitória,11,8,4,7,9,3,8,5
Santa Cruz da Graciosa,3,5,0,1,3,0,2,3
Calheta [R.A.A.],0,0,0,1,4,3,0,0
Velas,3,8,0,4,4,0,0,3
Lajes do Pico,0,0,0,3,4,0,4,4
Madalena,0,6,4,5,1,7,3,2
São Roque do Pico,0,0,0,0,0,2,0,3
Horta,5,0,4,5,7,6,3,5
Lajes das Flores,0,0,0,2,0,0,0,0
Santa Cruz das Flores,0,3,0,1,0,0,0,0
Corvo,0,0,0,0,0,0,0,0
Calheta [R.A.M.],17,5,6,3,6,9,6,4
Câmara de Lobos,18,17,13,11,14,25,16,11
Funchal,46,59,75,49,36,62,49,57
Machico,13,8,8,5,14,7,15,9
Ponta do Sol,0,7,4,8,3,6,5,5
Porto Moniz,0,0,0,2,0,3,2,0
Ribeira Brava,8,7,11,9,9,6,13,5
Santa Cruz,10,13,12,14,10,21,16,15
Santana,6,10,4,7,8,7,4,5
São Vicente,6,7,7,5,9,9,8,8
Porto Santo,0,0,0,2,0,4,3,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
 , , , , , , , , 
