"X","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"Arcos de Valdevez",16,18,20,21,22,19,18,18
"Caminha",28,28,29,26,32,31,35,35
"Melgaço",10,12,16,16,15,17,18,15
"Monção",31,33,35,31,35,34,32,35
"Paredes de Coura",5,5,4,5,6,4,7,7
"Ponte da Barca",9,8,10,8,11,12,15,15
"Ponte de Lima",42,38,40,41,44,37,44,50
"Valença",23,25,26,16,14,12,16,16
"Viana do Castelo",157,171,173,166,176,180,186,184
"Vila Nova de Cerveira",16,14,13,11,9,8,8,11
"Amares",12,12,15,16,19,24,28,30
"Barcelos",73,79,91,97,111,126,144,160
"Braga",375,433,457,462,497,519,574,625
"Esposende",29,32,32,35,43,47,59,65
"Terras de Bouro",2,3,3,3,3,5,5,7
"Vila Verde",23,27,34,32,36,40,43,44
"Cabeceiras de Basto",14,17,19,20,23,26,26,27
"Fafe",37,39,45,59,64,70,78,90
"Guimarães",167,174,183,180,190,211,239,257
"Mondim de Basto",4,4,4,3,4,4,4,5
"Póvoa de Lanhoso",16,18,20,21,21,19,19,19
"Vieira do Minho",7,7,7,7,8,8,8,10
"Vila Nova de Famalicão",108,118,138,152,167,179,202,221
"Vizela",18,23,22,21,30,34,35,32
"Arouca",13,14,13,12,10,12,13,12
"Espinho",52,52,55,53,53,56,63,72
"Gondomar",198,210,223,241,247,269,298,324
"Maia",265,285,288,291,301,298,300,325
"Matosinhos",435,466,488,464,455,451,477,491
"Oliveira de Azeméis",47,52,53,55,59,64,70,74
"Paredes",49,57,57,60,65,70,76,83
"Porto",1287,1318,1320,1179,1189,1210,1237,1279
"Póvoa de Varzim",121,122,134,137,141,143,148,162
"Santa Maria da Feira",138,149,153,144,145,155,169,188
"Santo Tirso",74,76,84,84,82,97,105,113
"São João da Madeira",22,29,33,34,40,44,47,44
"Trofa",35,41,58,66,72,76,82,83
"Vale de Cambra",15,20,26,30,31,34,42,46
"Valongo",109,116,129,121,128,146,153,154
"Vila do Conde",96,98,101,97,102,113,127,131
"Vila Nova de Gaia",463,508,512,478,515,530,552,584
"Boticas",4,4,4,4,5,5,5,4
"Chaves",56,61,61,61,66,76,87,95
"Montalegre",8,8,8,8,10,9,9,8
"Ribeira de Pena",9,11,10,8,8,6,4,5
"Valpaços",40,42,39,25,21,23,24,21
"Vila Pouca de Aguiar",8,11,11,11,11,10,11,13
"Amarante",38,39,41,47,50,54,64,71
"Baião",9,11,11,9,9,9,9,10
"Castelo de Paiva",6,6,7,7,8,8,8,10
"Celorico de Basto",4,5,5,7,10,12,12,14
"Cinfães",14,15,16,17,14,13,12,14
"Felgueiras",25,29,33,37,40,45,52,62
"Lousada",23,22,21,20,23,26,31,31
"Marco de Canaveses",15,19,23,22,26,32,33,40
"Paços de Ferreira",20,25,29,36,42,46,51,57
"Penafiel",40,50,56,52,54,59,61,66
"Resende",7,8,6,8,9,9,11,13
"Alijó",5,5,5,5,4,4,5,6
"Armamar",1,1,1,1,1,3,4,3
"Carrazeda de Ansiães",4,4,4,3,4,4,4,5
"Freixo de Espada à Cinta",1,1,1,1,3,3,3,3
"Lamego",21,26,27,28,32,38,47,51
"Mesão Frio",7,6,5,5,6,6,7,7
"Moimenta da Beira",6,6,6,6,4,3,8,9
"Murça",0,0,0,0,1,3,3,4
"Penedono",0,0,0,1,1,1,1,1
"Peso da Régua",17,19,17,16,15,15,15,18
"Sabrosa",5,4,5,5,5,6,6,6
"Santa Marta de Penaguião",1,1,1,1,1,0,0,2
"São João da Pesqueira",3,3,4,4,5,5,5,6
"Sernancelhe",2,2,3,4,5,6,4,4
"Tabuaço",2,2,2,2,2,2,3,3
"Tarouca",3,3,3,3,3,4,6,6
"Torre de Moncorvo",6,6,6,6,6,6,6,8
"Vila Nova de Foz Côa",7,7,7,7,7,7,7,11
"Vila Real",78,78,84,84,84,85,99,110
"Alfândega da Fé",4,5,5,5,5,4,4,4
"Bragança",57,58,58,58,67,77,78,80
"Macedo de Cavaleiros",11,13,12,11,10,11,12,16
"Miranda do Douro",6,5,4,5,5,5,5,5
"Mirandela",28,30,31,26,29,36,42,38
"Mogadouro",5,6,5,7,8,8,8,8
"Vila Flor",1,1,4,4,5,5,5,6
"Vimioso",3,3,3,4,4,4,4,4
"Vinhais",4,3,3,3,3,4,4,4
"Alcobaça",24,27,30,32,30,34,36,39
"Alenquer",20,25,25,25,23,27,33,37
"Arruda dos Vinhos",8,10,12,12,12,10,10,13
"Bombarral",10,11,11,10,10,10,9,8
"Cadaval",4,4,3,4,4,5,5,5
"Caldas da Rainha",37,36,40,43,42,48,47,54
"Lourinhã",9,13,14,14,14,16,16,17
"Nazaré",7,7,9,11,10,9,6,8
"Óbidos",5,5,4,6,6,7,8,7
"Peniche",10,10,12,10,11,10,7,10
"Sobral de Monte Agraço",7,8,8,7,8,6,7,7
"Torres Vedras",54,56,59,62,62,68,71,72
"Águeda",36,37,37,37,37,45,49,52
"Albergaria-a-Velha",15,19,22,24,25,28,27,27
"Anadia",20,22,24,26,28,32,33,39
"Aveiro",98,101,104,102,107,114,115,127
"Estarreja",19,22,23,26,27,28,27,30
"Ílhavo",25,18,21,20,23,29,36,38
"Murtosa",5,4,5,6,6,6,7,7
"Oliveira do Bairro",22,25,25,26,24,28,31,28
"Ovar",51,56,60,61,64,68,72,70
"Sever do Vouga",11,12,11,9,10,8,10,10
"Vagos",15,16,21,22,21,20,22,26
"Arganil",3,2,2,0,1,1,2,2
"Cantanhede",26,28,29,30,33,38,48,46
"Coimbra",1253,1346,1379,1367,1380,1422,1460,1487
"Condeixa-a-Nova",23,25,25,26,26,28,32,34
"Figueira da Foz",70,76,87,87,85,91,99,106
"Góis",1,1,1,2,1,1,1,1
"Lousã",8,10,11,12,12,15,15,16
"Mealhada",22,24,25,22,24,26,25,25
"Mira",11,11,13,13,16,17,16,20
"Miranda do Corvo",8,7,7,7,6,6,8,6
"Montemor-o-Velho",21,17,20,20,22,25,24,25
"Mortágua",7,8,9,6,5,6,8,10
"Oliveira do Hospital",7,9,10,11,10,8,10,11
"Pampilhosa da Serra",0,0,0,0,0,0,1,1
"Penacova",9,9,11,14,14,14,12,12
"Penela",2,2,2,2,2,3,4,4
"Soure",6,8,9,12,12,14,17,16
"Tábua",5,6,7,7,6,8,8,8
"Vila Nova de Poiares",1,1,2,1,1,1,2,3
"Alvaiázere",3,3,2,3,3,4,4,6
"Ansião",6,7,7,6,7,7,9,10
"Batalha",3,4,4,5,4,4,3,6
"Castanheira de Pêra",1,1,3,3,1,1,1,0
"Figueiró dos Vinhos",2,2,3,3,4,5,5,5
"Leiria",105,117,120,121,117,124,128,136
"Marinha Grande",17,16,16,13,12,13,13,13
"Pedrógão Grande",1,1,1,1,1,2,2,3
"Pombal",31,34,35,40,43,52,51,56
"Porto de Mós",9,8,9,10,11,11,12,14
"Aguiar da Beira",1,1,2,2,2,2,3,3
"Carregal do Sal",2,2,2,3,3,4,6,5
"Castro Daire",3,3,3,4,6,5,4,7
"Mangualde",14,12,13,10,15,18,17,16
"Nelas",11,13,13,11,12,11,9,12
"Oliveira de Frades",3,3,3,5,5,8,8,8
"Penalva do Castelo",3,2,2,4,5,8,9,9
"Santa Comba Dão",6,6,6,6,5,8,7,8
"São Pedro do Sul",10,13,16,17,19,22,22,25
"Sátão",9,9,9,11,12,10,13,14
"Tondela",25,26,28,26,30,28,27,31
"Vila Nova de Paiva",4,4,5,5,6,6,6,5
"Viseu",159,175,185,166,164,183,193,212
"Vouzela",4,5,5,8,10,9,7,6
"Castelo Branco",67,63,58,63,68,71,74,87
"Idanha-a-Nova",0,1,1,1,1,1,1,1
"Oleiros",0,0,0,0,0,0,1,2
"Penamacor",2,2,2,2,1,1,0,0
"Proença-a-Nova",3,4,4,4,5,5,6,7
"Vila Velha de Ródão",1,1,1,1,1,2,1,2
"Abrantes",23,22,30,35,33,38,39,40
"Alcanena",9,8,10,12,12,13,14,13
"Constância",1,1,0,0,0,1,2,3
"Entroncamento",20,23,28,28,31,29,33,37
"Ferreira do Zêzere",1,1,0,1,2,1,1,2
"Mação",2,2,2,2,2,2,2,2
"Ourém",15,19,23,27,30,27,31,30
"Sardoal",0,0,1,2,2,4,4,3
"Sertã",5,7,6,6,5,5,5,6
"Tomar",24,25,33,32,34,36,41,46
"Torres Novas",42,47,50,52,56,55,59,68
"Vila de Rei",3,3,3,3,3,3,3,3
"Vila Nova da Barquinha",3,3,3,2,2,2,2,3
"Almeida",6,6,10,10,10,11,11,12
"Belmonte",2,2,5,5,5,5,3,3
"Celorico da Beira",1,1,1,1,1,1,1,1
"Covilhã",74,75,78,71,73,82,83,87
"Figueira de Castelo Rodrigo",6,7,9,8,8,8,9,9
"Fornos de Algodres",4,4,4,7,8,9,9,10
"Fundão",15,15,18,17,15,16,15,19
"Gouveia",11,13,12,8,6,9,9,9
"Guarda",62,66,66,63,69,82,93,102
"Manteigas",2,3,3,3,2,2,2,2
"Mêda",2,2,3,4,4,4,4,4
"Pinhel",5,7,6,5,6,6,8,9
"Sabugal",7,7,7,8,8,8,8,9
"Seia",27,26,24,23,28,32,35,34
"Trancoso",7,9,10,10,11,14,15,18
"Alcochete",14,16,16,15,15,14,15,15
"Almada",225,228,244,228,228,247,278,283
"Amadora",212,219,227,227,226,227,242,243
"Barreiro",75,77,76,79,72,76,82,89
"Cascais",426,451,468,483,499,501,524,542
"Lisboa",2403,2489,2575,2603,2628,2711,2781,2908
"Loures",252,262,257,252,205,213,213,224
"Mafra",50,54,64,68,65,63,66,69
"Moita",30,34,29,24,25,30,32,29
"Montijo",35,39,43,47,47,53,57,59
"Odivelas",217,235,236,234,218,217,218,223
"Oeiras",507,509,505,498,501,507,508,518
"Palmela",48,48,44,43,48,50,63,66
"Seixal",103,97,99,97,106,125,128,140
"Sesimbra",28,32,35,34,34,32,37,41
"Setúbal",153,154,165,165,159,165,172,186
"Sintra",383,383,393,408,407,422,445,453
"Vila Franca de Xira",96,98,95,94,91,95,100,107
"Alcácer do Sal",3,3,4,7,7,8,6,9
"Grândola",5,4,2,4,6,8,8,9
"Odemira",9,9,9,16,19,20,21,19
"Santiago do Cacém",23,29,32,32,35,39,44,43
"Sines",13,15,16,18,19,20,17,18
"Aljustrel",6,9,9,7,7,6,7,9
"Almodôvar",2,2,1,4,5,9,9,9
"Alvito",2,4,2,1,1,2,2,3
"Barrancos",1,1,2,3,2,2,2,2
"Beja",55,58,55,60,58,70,67,69
"Castro Verde",2,2,3,3,3,1,1,1
"Cuba",3,2,2,2,2,2,2,4
"Ferreira do Alentejo",3,2,3,3,4,5,6,5
"Mértola",1,0,0,2,2,2,3,4
"Moura",14,15,16,17,17,22,21,22
"Ourique",2,2,2,3,3,4,2,2
"Serpa",6,7,8,9,9,11,13,10
"Vidigueira",5,4,4,4,3,3,3,5
"Almeirim",8,9,11,8,10,13,13,10
"Alpiarça",5,6,5,6,7,9,6,6
"Azambuja",9,9,12,11,7,6,6,5
"Benavente",7,8,9,11,12,13,15,15
"Cartaxo",17,19,19,16,16,16,17,17
"Chamusca",4,4,5,7,4,7,6,6
"Coruche",3,4,6,8,9,12,14,15
"Golegã",3,3,4,4,4,4,4,4
"Rio Maior",8,9,9,9,9,10,10,10
"Salvaterra de Magos",8,7,10,11,10,13,13,16
"Santarém",60,65,72,78,79,82,93,101
"Alter do Chão",0,1,2,3,3,2,2,2
"Arronches",2,2,2,4,4,4,4,4
"Avis",3,2,2,2,2,2,1,1
"Campo Maior",38,37,34,33,33,32,32,29
"Castelo de Vide",5,6,6,6,5,5,5,5
"Crato",1,1,1,1,1,2,2,2
"Elvas",52,54,53,54,49,55,54,62
"Fronteira",0,0,0,0,0,0,0,1
"Gavião",0,0,0,0,0,0,0,0
"Marvão",3,3,4,3,3,3,3,4
"Monforte",3,3,3,3,3,3,3,3
"Nisa",5,5,5,5,5,5,5,7
"Ponte de Sor",13,17,16,16,15,16,20,18
"Portalegre",46,49,44,46,45,41,39,36
"Sousel",2,2,4,4,5,5,4,4
"Alandroal",3,3,2,3,4,4,3,4
"Arraiolos",2,2,2,3,5,4,3,4
"Borba",2,2,2,3,4,4,5,4
"Estremoz",10,12,11,13,15,12,15,15
"Évora",94,111,109,123,143,139,140,153
"Montemor-o-Novo",7,7,6,5,7,8,10,10
"Mora",3,3,3,3,3,3,4,4
"Mourão",1,1,1,0,0,0,0,0
"Portel",2,2,3,6,6,6,6,5
"Redondo",2,3,2,2,3,3,3,4
"Reguengos de Monsaraz",3,2,2,2,2,2,2,5
"Vendas Novas",12,13,12,13,12,13,13,14
"Viana do Alentejo",4,4,4,3,3,3,3,5
"Vila Viçosa",6,8,8,9,12,10,12,11
"Albufeira",36,39,45,45,43,45,45,48
"Alcoutim",5,5,5,4,3,2,3,5
"Aljezur",5,6,6,9,9,10,9,10
"Castro Marim",7,8,8,9,8,8,10,11
"Faro",202,215,211,202,201,198,202,210
"Lagoa",41,40,43,43,40,39,43,45
"Lagos",30,33,43,44,45,48,49,51
"Loulé",52,57,67,72,72,82,87,91
"Monchique",3,3,3,4,4,4,6,6
"Olhão",34,38,37,33,32,34,38,42
"Portimão",117,116,125,120,131,130,142,145
"São Brás de Alportel",13,14,15,15,15,18,18,19
"Silves",16,20,22,24,20,25,27,28
"Tavira",30,29,30,31,32,31,33,37
"Vila do Bispo",3,2,4,2,2,2,2,2
"Vila Real de Santo António",19,20,20,22,22,22,18,19
"Vila do Porto",6,6,7,5,6,5,6,5
"Lagoa [R.A.A.]",8,10,11,9,11,11,13,13
"Nordeste",4,4,3,3,3,2,2,2
"Ponta Delgada",83,89,103,114,119,134,149,172
"Povoação",1,1,1,2,3,3,5,5
"Ribeira Grande",17,18,22,25,25,25,28,31
"Vila Franca do Campo",4,5,5,6,8,11,11,11
"Angra do Heroísmo",33,33,33,32,32,38,44,46
"Vila da Praia da Vitória",22,23,25,28,32,32,32,32
"Santa Cruz da Graciosa",1,2,1,0,0,0,1,1
"Calheta [R.A.A.]",1,2,2,2,1,1,1,0
"Velas",5,5,5,5,5,6,7,7
"Lajes do Pico",3,3,4,5,5,7,8,9
"Madalena",2,3,2,2,2,2,2,1
"São Roque do Pico",1,2,2,1,2,3,3,2
"Horta",12,13,15,14,13,11,11,10
"Lajes das Flores",0,0,0,0,0,0,0,0
"Santa Cruz das Flores",1,1,1,1,1,1,2,3
"Corvo",1,1,1,1,1,1,1,1
"Calheta [R.A.M.]",2,2,1,2,2,2,2,3
"Câmara de Lobos",9,11,12,12,16,22,27,32
"Funchal",178,182,178,183,190,223,258,290
"Machico",12,16,18,18,15,18,19,20
"Ponta do Sol",3,1,1,2,2,4,4,6
"Porto Moniz",0,0,0,1,2,2,4,2
"Ribeira Brava",2,4,4,5,4,7,15,19
"Santa Cruz",29,29,31,34,35,40,46,47
"Santana",5,1,3,3,3,3,4,4
"São Vicente",1,3,3,3,3,4,4,3
"Porto Santo",0,0,1,1,1,2,2,3
